ContactID,TimeStamp,CallDuration,CompletionCode,PacingType,ChannelType,AttemptedField,AttemptType
ContactID-4,07/04/24 11:09,480,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-4,14/04/24 9:07,180,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-4,08/05/24 13:39,420,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-4,13/05/24 9:29,0,Ring No Answer,Preview,Voice,Phone 1,High Priority
ContactID-4,14/05/24 15:18,420,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-5,03/01/24 12:26,600,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-5,17/01/24 16:24,120,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-5,18/01/24 14:16,420,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-5,19/01/24 10:50,540,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-5,07/02/24 14:28,120,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-5,19/02/24 15:14,60,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-5,01/03/24 13:19,240,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-5,03/04/24 16:30,240,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-5,08/04/24 16:46,300,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-5,12/04/24 10:04,600,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-5,03/05/24 16:30,240,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-5,08/05/24 16:46,300,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-5,12/05/24 10:04,600,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-6,17/01/24 16:24,120,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-6,18/01/24 14:16,420,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-6,19/01/24 10:50,540,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-6,07/02/24 14:28,120,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-6,19/02/24 15:14,60,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-6,01/03/24 13:19,240,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-6,03/04/24 16:30,240,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-6,08/04/24 16:46,300,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-6,12/04/24 10:04,600,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-6,03/05/24 16:30,240,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-6,08/05/24 16:46,300,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-6,12/05/24 10:04,600,Follow Up,Preview,Voice,Phone 1,Regular
ContactID-7,17/01/24 16:24,120,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-7,18/01/24 14:16,420,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-7,19/01/24 10:50,540,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-7,07/02/24 14:28,120,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-7,19/02/24 15:14,60,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-7,01/03/24 13:19,240,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-7,03/04/24 16:30,240,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-7,08/04/24 16:46,300,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-7,12/04/24 10:04,600,Call Answered,Preview,Voice,Phone 1,Regular
ContactID-7,03/05/24 16:30,240,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-7,08/05/24 16:46,300,Call Answered,Preview,Voice,Phone 1,High Priority
ContactID-7,12/05/24 10:04,600,Payment Done,Preview,Voice,Phone 1,Regular
